,title,price,url,source
123,Mega Evolution - Mega Brave - Japanese Booster Pack,3.45,https://totalcards.net/collections/view-all-pokemon/products/pokemon-mega-evolution-mega-brave-japanese-booster-pack,TotalCards
124,Sword & Shield - Elite Trainer Box Plus - Zacian,99.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-elite-trainer-box-plus-zacian,TotalCards
125,Scarlet & Violet - Temporal Forces - Elite Trainer Box - Walking Wake,42.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-temporal-forces-elite-trainer-box-walking-wake,TotalCards
126,Sword & Shield - Elite Trainer Box Plus - Zamazenta,99.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-elite-trainer-box-plus-zamazenta,TotalCards
127,Scarlet & Violet - Glory of Team Rocket - Japanese Booster Pack,4.45,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-glory-of-team-rocket-japanese-booster-pack,TotalCards
128,Mega Evolution - Inferno X - Japanese Booster Pack,3.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-mega-evolution-inferno-x-japanese-booster-pack,TotalCards
129,Sword & Shield - Shining Fates - Eevee - 052/72,0.08,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-shining-fates-eevee-052-72,TotalCards
130,Scarlet & Violet - Paldean Fates - Premium Collection - Shiny Quaquaval ex,79.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-paldean-fates-premium-collection-shiny-quaquaval-ex,TotalCards
131,Mega Evolution - Mega Symphonia - Japanese Booster Pack,3.45,https://totalcards.net/collections/view-all-pokemon/products/pokemon-mega-evolution-mega-symphonia-japanese-booster-pack,TotalCards
132,Trick or Trade 2024 - BOOster Pack,1.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-trick-or-trade-2024-booster-pack,TotalCards
133,Mega Evolution - Mega Dream ex - Japanese Booster Box (10 Boosters),79.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-mega-evolution-mega-dream-ex-japanese-booster-box-10-boosters,TotalCards
134,Sword & Shield - Lost Origin - Build & Battle Stadium,52.45,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-lost-origin-build-battle-stadium,TotalCards
135,Pokemon Go - Charmander Pin Collection,24.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-pokemon-go-charmander-pin-collection,TotalCards
136,Sun & Moon - Guardians Rising - Sleeved Booster,6.75,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sun-moon-guardians-rising-sleeved-booster,TotalCards
137,Scarlet & Violet - Battle Partners - Japanese Booster Pack,3.45,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-battle-partners-japanese-booster-pack,TotalCards
138,Pokemon Go - Snorlax Tin,24.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-pokemon-go-snorlax-tin,TotalCards
